sample_id,system_id,runs_n_poses_cluster,familiarity_score_0_to_100,familiarity_bin,protein_tokens,resolved_protein_distogram_atoms,ligand_tokens,refined_protein_tokens,predicted_token_pocket_residues_at_6a,native_affinity_pocket_mask_protein_residues_at_15a,reference_pocket_residues_6a_any_heavy_atom,reference_interface_pairs_within_15a,reference_token_contacts_within_6a,interface_distogram_nll,interface_expected_distance_mae_angstrom,token_contact_average_precision_at_6a,token_contact_auroc_at_6a,physical_pocket_precision_at_6a,physical_pocket_recall_at_6a,physical_pocket_f1_at_6a,entropy_crop_pl,affinity_pred_value,affinity_pred_value1,affinity_pred_value2,affinity_probability_binary
7qdt__1__1.A__1.B__1.B,7qdt__1__1.A__1.B,c278,87.770199507133,80-100,236,236,23,233,15,125,30,1765,90,1.8034314775345297,0.45944715133434255,0.9718039729912239,0.9993817909329337,1.0,0.5,0.6666666666666666,0.30350568890571594,-2.4526453018188477,-2.8649139404296875,-2.040376901626587,0.9841973781585693
7qei__1__1.A__1.B__1.B,7qei__1__1.A__1.B,c481,60.675526386299765,60-70,299,291,31,225,18,134,26,2130,94,1.627761233077895,0.4697590452861131,0.9686310124151426,0.9996758578445977,1.0,0.6923076923076923,0.8181818181818181,0.3652518391609192,-0.544215977191925,-0.7141200304031372,-0.3743119239807129,0.9575787782669067
7rbw__1__1.A__1.C__1.C,7rbw__1__1.A__1.C,c716,12.819489143066903,0-20,411,381,43,213,4,104,37,2850,157,2.9323317239544875,2.02547996675583,0.5226567780168345,0.9933707088018678,1.0,0.10810810810810811,0.1951219512195122,0.7109280824661255,0.7154930830001831,0.8115489482879639,0.6194371581077576,0.3121257722377777
7rh1__1__1.A__1.D__1.D,7rh1__1__1.A__1.D,c134,55.59860617180379,50-60,138,138,33,138,10,68,18,1238,31,5.051166438501722,1.750324919068198,0.5479183815927307,0.9894731586942723,0.7,0.3888888888888889,0.5,0.28433337807655334,0.17625391483306885,0.30107030272483826,0.05143751576542854,0.9819956421852112
7shh__1__1.A__1.E__1.E,7shh__1__1.A__1.E,c48,72.64294619852367,70-80,125,106,16,125,8,57,13,671,46,1.0962211181809416,0.23474435340614117,0.9755538781064016,0.9992621870882741,1.0,0.6153846153846154,0.761904761904762,0.28109779953956604,0.576364278793335,0.9647639989852905,0.18796460330486298,0.96571946144104
7u8w__1__1.A__1.C__1.C,7u8w__1__1.A__1.C,c107,51.2094427247205,50-60,483,440,31,225,19,135,31,2257,116,3.091243277344918,0.907199651547003,0.7786511897793286,0.996169644769452,1.0,0.6129032258064516,0.76,0.4232623875141144,-0.12924495339393616,-0.28250986337661743,0.024019964039325714,0.8148704171180725
7udq__1__1.A__1.C__1.C,7udq__1__1.A__1.C,c590,25.06813611010762,20-30,393,369,25,231,11,91,23,1745,85,2.6917097882704897,1.1927431444005818,0.8018699248601621,0.9954151113399408,0.9090909090909091,0.43478260869565216,0.5882352941176471,0.6323556900024414,0.371443510055542,-0.16496425867080688,0.9078512787818909,0.6827419400215149
7ush__1__1.A__1.B__1.B,7ush__1__1.A__1.B,c7,92.3509927447778,80-100,111,111,26,111,9,65,16,1153,60,0.9484056144302361,0.17899652673850588,0.983410499542952,0.9996225524887945,1.0,0.5625,0.72,0.2508853077888489,-0.47638052701950073,-0.26497894525527954,-0.6877821087837219,0.9301994442939758
7vkg__1__1.A__1.B__1.B,7vkg__1__1.A__1.B,c82,70.51176124267036,70-80,138,134,19,138,9,50,14,712,61,2.139801563496956,0.618193709959982,0.9468303640285871,0.9984563116403338,1.0,0.6428571428571429,0.782608695652174,0.4353097379207611,1.3731443881988525,1.174086093902588,1.5722028017044067,0.011094977147877216
7w1i__1__1.A__1.B__1.B,7w1i__1__1.A__1.B,c652,34.070914141285655,30-40,497,497,18,238,2,87,27,1611,69,3.3481166302583336,1.9718466869597986,0.7296054595108222,0.9935527898999694,1.0,0.07407407407407407,0.13793103448275862,0.8061420321464539,1.6671969890594482,1.8541853427886963,1.4802087545394897,0.5938581228256226
7wdt__1__1.A__1.C__1.C,7wdt__1__1.A__1.C,c934,27.414378149104504,20-30,830,819,19,237,5,128,18,829,50,6.686266461729881,12.990401480993333,0.06348560992269699,0.972525304622526,0.0,0.0,0.0,0.6048270463943481,1.395188331604004,1.0917866230010986,1.6985900402069092,0.9097539782524109
7wgn__1__1.A__1.B__1.B,7wgn__1__1.A__1.B,c36,60.36626264766849,60-70,276,261,36,220,14,154,35,2727,135,1.9160586250505078,0.625637367200926,0.8985918952329726,0.9986474542785956,1.0,0.4,0.5714285714285715,0.4640371799468994,0.07951228320598602,0.3917734920978546,-0.23274892568588257,0.9669210910797119
7xm7__1__1.A__1.E__1.E,7xm7__1__1.A__1.E,c491,38.04066129285344,30-40,133,113,30,133,10,65,6,526,15,8.06327701732215,3.251841081059107,0.06012453184859006,0.9446123456790123,0.2,0.3333333333333333,0.25,0.37115171551704407,-0.43977028131484985,-0.325312077999115,-0.5542284846305847,0.8404314517974854
7yzs__1__1.A__1.B__1.B,7yzs__1__1.A__1.B,c194,48.3295958171728,40-50,396,384,15,241,12,122,29,1311,71,2.1521519327659653,0.5691262804189703,0.9698273695253357,0.9995543660981533,1.0,0.41379310344827586,0.5853658536585366,0.46722012758255005,0.903536319732666,0.8453022241592407,0.9617703557014465,0.8193849325180054
7zjq__1__1.A__1.E__1.E,7zjq__1__1.A__1.E,c828,40.962128081149146,40-50,220,210,17,220,6,94,23,1258,55,2.2371373968226838,0.6859982625679582,0.9054383050236596,0.9979723263933791,1.0,0.2608695652173913,0.41379310344827586,0.6642091870307922,1.235727310180664,1.1979455947875977,1.273508906364441,0.21756508946418762
8am2__1__1.A__1.D__1.D,8am2__1__1.A__1.D,c761,34.723492302862354,30-40,529,527,32,224,7,118,33,2422,94,2.4266874865355224,1.2881380011934669,0.7943918174208097,0.9980322003577817,1.0,0.21212121212121213,0.35,0.6022865176200867,0.7245895862579346,0.6327272653579712,0.816451907157898,0.6821738481521606
8axp__1__1.A__1.C__1.C,8axp__1__1.A__1.C,c653,38.45639183891768,30-40,192,189,16,192,0,52,14,824,49,3.4061796997651754,2.788999006371931,0.5003917316307708,0.9856148173555136,0.0,0.0,0.0,0.856116533279419,1.5060451030731201,1.7168159484863281,1.2952743768692017,0.6029248833656311
8c70__1__1.A__1.B__1.B,8c70__1__1.A__1.B,c319,50.91881461604451,50-60,419,330,20,236,10,107,18,1318,70,3.2515089894821823,1.2801687033986842,0.7215561015465072,0.9960949464012251,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.5900008678436279,1.2723428010940552,1.1900954246520996,1.3545901775360107,0.09583330154418945
8chk__1__1.A__1.D__1.D,8chk__1__1.A__1.D,c112,60.29971744179956,60-70,107,107,31,107,8,79,17,1560,40,1.7161266325504319,0.449715782198887,0.9066670479508442,0.9985352456515105,1.0,0.47058823529411764,0.6399999999999999,0.31762251257896423,-0.7727315425872803,-1.0197148323059082,-0.5257483124732971,0.9504663944244385
8cje__1__1.A__1.F__1.F,8cje__1__1.A__1.F,c248,0.0,0-20,663,632,15,241,0,84,19,1293,43,5.886197234502993,7.294858471703519,0.005992004739994867,0.6079878558174036,0.0,0.0,0.0,0.8709517121315002,1.4480855464935303,1.3621892929077148,1.5339816808700562,0.6429784297943115
8d6t__1__1.A__1.C__1.C,8d6t__1__1.A__1.C,c217,73.05009144340748,70-80,851,818,21,235,4,85,18,1201,32,3.2499970702296994,1.7268668223905563,0.5239750825254927,0.9552227924880439,1.0,0.2222222222222222,0.3636363636363636,0.7006340026855469,1.7902565002441406,1.7752206325531006,1.8052922487258911,0.4224010705947876
8f1g__1__1.A__1.C__1.C,8f1g__1__1.A__1.C,c871,45.27936556351492,40-50,316,303,29,227,0,27,14,1161,78,3.6550822309611006,3.737258847258842,0.37092513637189367,0.9874518255503443,0.0,0.0,0.0,0.8373463153839111,0.6229206323623657,0.5833382606506348,0.6625029444694519,0.07520490884780884
8fm8__1__1.A__1.K__1.K,8fm8__1__1.A__1.K,c22,60.36103827214468,60-70,358,335,46,210,17,122,30,2308,125,1.8871894737896189,0.5223515368181598,0.9503090410563636,0.9994975466143278,1.0,0.5666666666666667,0.7234042553191489,0.3722693920135498,-2.5865697860717773,-2.771322250366211,-2.4018170833587646,0.9769132137298584
8g68__1__1.A__1.C__1.C,8g68__1__1.A__1.C,c288,26.845736483614253,20-30,298,287,15,241,5,61,16,643,60,9.180843850121287,9.31905097035061,0.016246399436897766,0.6100785237534354,0.0,0.0,0.0,0.6760173439979553,1.7564048767089844,1.776600956916809,1.7362086772918701,0.16063454747200012
8g9d__1__1.A__1.B__1.B,8g9d__1__1.A__1.B,c600,65.94943421035202,60-70,172,135,41,172,7,86,23,1819,46,3.8871563871152297,2.1528548484208856,0.3172892599470636,0.985219450759226,1.0,0.30434782608695654,0.4666666666666667,0.5234010815620422,1.1999170780181885,1.1084558963775635,1.291378140449524,0.22022052109241486
8gvj__1__1.A__1.B__1.B,8gvj__1__1.A__1.B,c1,55.44717765236356,50-60,309,285,41,215,19,112,29,2614,151,3.274088498742787,0.7773790269841547,0.8426017482338477,0.9967639584436225,1.0,0.6551724137931034,0.7916666666666666,0.3118857145309448,-1.7838690280914307,-1.5261398553848267,-2.041598081588745,0.940367579460144
8gzc__1__1.A__1.F__1.F,8gzc__1__1.A__1.F,c89,51.14975931071679,50-60,454,443,34,222,16,102,24,2077,100,1.5327568933716584,0.5452986486612661,0.9387706458466119,0.9995087555139687,1.0,0.6666666666666666,0.8,0.2916742265224457,-1.611322045326233,-1.7321527004241943,-1.4904913902282715,0.9471458792686462
8hd3__1__1.A__1.C__1.C,8hd3__1__1.A__1.C,c359,72.98590798242033,70-80,260,248,26,230,7,115,30,1975,65,2.0832758178057253,0.6743612528828848,0.897840658936826,0.998505646006821,1.0,0.23333333333333334,0.37837837837837834,0.5272328853607178,0.46625664830207825,0.3798329830169678,0.5526803135871887,0.36500465869903564
8j30__1__1.A__1.C__1.C,8j30__1__1.A__1.C,c815,36.060763604540384,30-40,628,608,36,220,9,121,33,2504,103,3.4469779295393663,2.2076251949342995,0.6362104929338387,0.9947340625842579,1.0,0.2727272727272727,0.42857142857142855,0.6538952589035034,0.9507226943969727,0.7852653861045837,1.1161800622940063,0.7786679267883301
8jwy__1__1.A__1.B__1.B,8jwy__1__1.A__1.B,c105,37.87778868395642,30-40,481,448,34,222,17,145,28,2426,92,1.4620661951562282,0.27048315240339404,0.9747153694054714,0.9998377462523692,1.0,0.6071428571428571,0.7555555555555554,0.2713991403579712,-0.9824783802032471,-1.2153921127319336,-0.7495645880699158,0.8289309740066528
8pp8__1__1.A__1.D__1.D,8pp8__1__1.A__1.D,c63,77.67842462673491,70-80,279,270,24,232,0,92,17,1240,5,2.1603651593232724,0.6012445014155748,0.3275033738191633,0.998949806949807,0.0,0.0,0.0,0.5929877161979675,1.0938040018081665,0.7977066040039062,1.3899013996124268,0.31147658824920654
8q0u__1__1.A__1.D__1.D,8q0u__1__1.A__1.D,c118,16.336599158860704,0-20,286,277,34,222,5,99,32,2413,116,6.307375546770115,5.06105553515857,0.14343925724297227,0.8424124585739812,0.6,0.09375,0.16216216216216214,0.7239535450935364,1.1944236755371094,1.3792908191680908,1.0095564126968384,0.32038724422454834
8qnh__1__1.A__1.B__1.B,8qnh__1__1.A__1.B,c98,6.6849712338891,0-20,394,384,39,217,6,120,35,2458,117,5.733684370521906,5.655543289983982,0.045716529232979,0.8880352809284769,1.0,0.17142857142857143,0.2926829268292683,0.7402229309082031,-0.30633050203323364,-0.9371081590652466,0.3244471251964569,0.05526750534772873
8skn__1__1.A__1.C__1.C,8skn__1__1.A__1.C,c903,7.661078544617784,0-20,382,340,27,229,2,79,11,933,37,6.529341282293597,8.794967501991154,0.005320078701945255,0.6063832617480217,0.0,0.0,0.0,0.8335041999816895,0.9890543222427368,1.0208131074905396,0.9572955965995789,0.31996989250183105
8sx2__1__1.A__1.C__1.C,8sx2__1__1.A__1.C,c170,84.41950145224763,80-100,333,313,39,217,20,137,33,2449,112,1.991045581348884,0.7789624868036198,0.9779112847014583,0.9997445815862517,1.0,0.6060606060606061,0.7547169811320755,0.45461505651474,0.9533013105392456,1.196466088294983,0.7101365327835083,0.4298115372657776
8sze__1__1.A__1.C__1.C,8sze__1__1.A__1.C,c253,91.07060953781004,80-100,164,150,21,164,9,103,20,1262,54,1.3840166570175505,0.4326360266352001,0.9731086658193592,0.9994676524069289,1.0,0.45,0.6206896551724138,0.35491326451301575,-1.398032546043396,-1.4019116163253784,-1.3941534757614136,0.9870625734329224
8u2e__1__1.A__1.B__1.B,8u2e__1__1.A__1.B,c727,59.31894101905238,50-60,270,270,39,217,19,111,24,1961,99,2.8738787151043965,0.6707550596436761,0.8875688720982816,0.996842163365028,0.9473684210526315,0.75,0.8372093023255814,0.30195870995521545,-2.5763416290283203,-3.0074405670166016,-2.145242691040039,0.9567708969116211
8u7x__1__1.A__1.C__1.C,8u7x__1__1.A__1.C,c60,66.84693807440355,60-70,539,491,31,225,20,123,26,1856,117,1.273642971577374,0.28362993780349616,0.987894254398362,0.9999004056207446,1.0,0.6923076923076923,0.8181818181818181,0.30789461731910706,-1.1851801872253418,-1.1443175077438354,-1.2260427474975586,0.9619952440261841
8w4s__1__1.A__1.D__1.D,8w4s__1__1.A__1.D,c12,42.48698809975112,40-50,347,290,29,227,8,133,24,1772,80,4.454481002322903,1.8269580726624388,0.4678213464189483,0.9786269507803121,1.0,0.3333333333333333,0.5,0.5423821806907654,0.09172303974628448,0.1435551792383194,0.039890896528959274,0.6993187069892883
9f41__1__1.A__1.Q__1.Q,9f41__1__1.A__1.Q,c283,76.9407939420012,70-80,248,222,28,228,12,117,31,1988,92,7.563798511981524,4.919136543548001,0.1153924883160917,0.8743716809132991,0.9166666666666666,0.3548387096774194,0.5116279069767442,0.4937039911746979,0.9825176000595093,1.3938871622085571,0.5711480379104614,0.10580150038003922
