sample_id,system_id,runs_n_poses_cluster,familiarity_score_0_to_100,familiarity_bin,protein_tokens,resolved_protein_distogram_atoms,ligand_tokens,refined_protein_tokens,predicted_token_pocket_residues_at_6a,native_affinity_pocket_mask_protein_residues_at_15a,reference_pocket_residues_6a_any_heavy_atom,reference_interface_pairs_within_15a,reference_token_contacts_within_6a,interface_distogram_nll,interface_expected_distance_mae_angstrom,token_contact_average_precision_at_6a,token_contact_auroc_at_6a,physical_pocket_precision_at_6a,physical_pocket_recall_at_6a,physical_pocket_f1_at_6a,entropy_crop_pl,affinity_pred_value,affinity_pred_value1,affinity_pred_value2,affinity_probability_binary
7qea__1__1.A__1.C__1.C,7qea__1__1.A__1.C,c494,21.7760301201574,20-30,759,737,37,219,6,136,28,2241,62,4.15617882338809,3.1069251609184163,0.2265844053924136,0.982733333570464,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.7211978435516357,1.2533732652664185,1.1739076375961304,1.3328388929367065,0.6985296010971069
7qfe__1__1.A__1.D__1.D,7qfe__1__1.A__1.D,c352,67.66436587084092,60-70,585,581,18,238,14,94,23,1311,49,6.775399126642305,4.172210721377373,0.04479136604239314,0.803854984207152,0.35714285714285715,0.21739130434782608,0.27027027027027023,0.4717645049095154,1.8468577861785889,1.8910491466522217,1.8026663064956665,0.5972727537155151
7qhe__1__1.A__1.I__1.I,7qhe__1__1.A__1.I,c273,38.06184061926459,30-40,529,527,47,209,6,123,39,3609,153,2.752487926648213,1.5698765711703746,0.7359264101268007,0.996492796013433,1.0,0.15384615384615385,0.2666666666666667,0.6820539832115173,-0.6285749077796936,-0.8503534197807312,-0.4067964255809784,0.614647626876831
7qrc__1__1.A__1.D__1.D,7qrc__1__1.A__1.D,c416,57.53019327632468,50-60,66,61,29,66,13,52,14,938,69,2.1951442555226266,0.4871574318908914,0.9425038964317591,0.996845694799659,1.0,0.9285714285714286,0.962962962962963,0.31847718358039856,1.125597357749939,1.2980546951293945,0.9531400799751282,0.34214502573013306
7qty__1__1.A__1.C__1.C,7qty__1__1.A__1.C,c955,40.18326553331253,40-50,281,279,17,239,0,60,16,822,56,6.86668040611143,8.085524911778716,0.018013533375484232,0.67157258679021,0.0,0.0,0.0,0.8422154784202576,1.4438860416412354,1.696122407913208,1.1916495561599731,0.6579025983810425
7rdp__1__1.A__1.B__1.B,7rdp__1__1.A__1.B,c797,94.57552857778472,80-100,139,139,23,139,5,52,12,742,19,0.9294920246468312,0.3223543344840263,0.9597362972649015,0.9995362856480408,1.0,0.4166666666666667,0.5882352941176471,0.2775648236274719,0.14586141705513,0.4655481278896332,-0.17382529377937317,0.9370778799057007
7rl2__1__1.A__1.C__1.C,7rl2__1__1.A__1.C,c566,99.98695538742498,80-100,476,463,30,226,7,123,30,2259,92,2.846789477662806,1.3559581036104276,0.7121800549911341,0.9965385657656749,1.0,0.23333333333333334,0.37837837837837834,0.7158858776092529,0.8649735450744629,1.013702630996704,0.7162444591522217,0.39233332872390747
7s1d__1__1.A__1.C__1.C,7s1d__1__1.A__1.C,c274,47.213859468494064,40-50,189,188,19,189,7,62,16,752,50,4.483537122016497,1.8755710479293035,0.41243312366037815,0.988114707552527,0.8571428571428571,0.375,0.5217391304347825,0.4945680797100067,1.5570483207702637,1.728901982307434,1.3851946592330933,0.40197885036468506
7s7x__1__1.A__1.D__1.D,7s7x__1__1.A__1.D,c203,32.87637335744811,30-40,293,278,16,240,5,94,17,1297,44,3.9857972203616048,2.458022579756714,0.21748007618256163,0.972137932458096,1.0,0.29411764705882354,0.45454545454545453,0.6999697685241699,1.2742185592651367,1.3896185159683228,1.1588184833526611,0.19179651141166687
7s84__1__1.A__1.B__1.B,7s84__1__1.A__1.B,c141,34.30157076872849,30-40,298,282,25,231,15,106,30,1672,102,7.307602684946915,4.283713266625983,0.08873765069148266,0.8669951573029903,0.5333333333333333,0.26666666666666666,0.3555555555555555,0.40761440992355347,0.8790624141693115,0.532653272151947,1.2254716157913208,0.6430873274803162
7slz__1__1.A__1.B__1.B,7slz__1__1.A__1.B,c662,31.4705419192446,30-40,167,159,30,167,10,85,22,1682,85,4.640734620049,2.31641543444765,0.22021491384530933,0.9568886935777513,0.9,0.4090909090909091,0.5625000000000001,0.5302125811576843,0.7955227494239807,0.7278379201889038,0.8632075786590576,0.2779533863067627
7sok__1__1.A__1.E__1.E,7sok__1__1.A__1.E,c317,78.99989586581913,70-80,283,267,38,218,27,169,47,3106,192,1.3672450683176276,0.25779966858745434,0.9895187981586152,0.9997964595472507,1.0,0.574468085106383,0.7297297297297298,0.273690789937973,-2.120260715484619,-2.8946049213409424,-1.3459163904190063,0.9797008037567139
7sqm__1__1.A__1.B__1.B,7sqm__1__1.A__1.B,c306,49.89875522305084,40-50,357,346,24,232,15,120,28,1633,97,1.920404381355439,0.35341071233643556,0.9654289482226066,0.9995616012983636,1.0,0.5357142857142857,0.6976744186046512,0.3275667726993561,0.11114192008972168,0.1669553965330124,0.05532843992114067,0.4396477937698364
7szr__1__1.A__1.G__1.G,7szr__1__1.A__1.G,c836,64.90484472794725,60-70,352,321,29,227,20,133,32,2119,144,1.8178089353310785,0.4677900461416877,0.9069293908099547,0.9980549493847366,0.95,0.59375,0.7307692307692308,0.35831356048583984,-1.545954942703247,-1.7763071060180664,-1.3156026601791382,0.9286884069442749
7t39__1__1.A__1.B__1.B,7t39__1__1.A__1.B,c555,51.91600553177921,50-60,720,613,33,223,18,132,32,2129,132,2.5242643175542585,0.9700821944232513,0.8772334688646787,0.998881937753411,1.0,0.5625,0.72,0.5102778673171997,0.44104015827178955,0.36537885665893555,0.5167014598846436,0.7029100656509399
7tuo__1__1.A__1.B__1.B,7tuo__1__1.A__1.B,c514,17.82714468821226,0-20,385,320,30,226,11,89,28,1973,103,7.489286347539296,4.90795518425515,0.06142715762653377,0.8867112864461031,0.6363636363636364,0.25,0.358974358974359,0.6084636449813843,0.7659691572189331,1.2297450304031372,0.3021933436393738,0.18889404833316803
7txk__1__1.A__1.C__1.C,7txk__1__1.A__1.C,c737,23.67298335922198,20-30,274,272,15,241,6,97,21,1255,54,3.785581330637282,2.106129532461724,0.3476442776255916,0.9788734337914666,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.6254541277885437,1.6274394989013672,1.866228461265564,1.3886504173278809,0.6772344708442688
7u4o__1__1.A__1.G__1.G,7u4o__1__1.A__1.G,c295,92.30702291329828,80-100,152,150,24,152,12,73,18,1104,62,1.7587206641103452,0.39965927774799964,0.9574462349610853,0.9991292693156331,1.0,0.6666666666666666,0.8,0.4610569179058075,1.2251710891723633,1.418872356414795,1.0314698219299316,0.21030497550964355
7ugl__1__1.A__1.C__1.C,7ugl__1__1.A__1.C,c368,36.57224460958748,30-40,116,116,34,116,11,64,15,1088,29,14.70439662896741,8.302720987277851,0.005785280789524999,0.39627427665477605,0.0,0.0,0.0,0.2907421886920929,0.5138022303581238,0.4252801239490509,0.6023243069648743,0.29882484674453735
7ukr__1__1.A__1.C__1.C,7ukr__1__1.A__1.C,c623,78.29051612545,70-80,487,430,29,227,10,73,16,1198,58,1.3498202356085498,0.25625304888288913,0.9788858091785531,0.9998916510162579,1.0,0.625,0.7692307692307693,0.2866649627685547,-1.4116911888122559,-1.8637926578521729,-0.9595896601676941,0.9170249700546265
7ut5__1__1.A__1.C__1.C,7ut5__1__1.A__1.C,c92,77.01974652627172,70-80,354,324,23,233,13,124,26,1657,97,2.3170218064607075,0.5920052503850031,0.9400680445756902,0.9991127432772432,1.0,0.5,0.6666666666666666,0.4463019371032715,0.03983466327190399,-0.13759678602218628,0.21726611256599426,0.8862522840499878
7v18__1__1.A__1.C__1.C,7v18__1__1.A__1.C,c53,68.52737142251928,60-70,238,236,39,217,21,132,30,2578,148,1.2509617292384028,0.1815574568177329,0.9904343328366768,0.9998477939069812,1.0,0.7,0.8235294117647058,0.15980103611946106,-2.358287811279297,-2.762949228286743,-1.9536263942718506,0.9784436821937561
7vm7__1__1.A__1.B__1.B,7vm7__1__1.A__1.B,c230,53.9576189599225,50-60,245,245,26,230,16,121,33,1791,96,1.941821091508198,0.3773267914500116,0.9555966846624359,0.9992047205397938,1.0,0.48484848484848486,0.653061224489796,0.279952734708786,-0.9837740659713745,-1.4921385049819946,-0.4754096269607544,0.9488787055015564
7vnh__1__1.A__1.C__1.C,7vnh__1__1.A__1.C,c677,48.96306846175998,40-50,120,112,21,120,3,86,29,1493,62,3.6446604958399287,2.282166907256077,0.20606712518017184,0.9324200591632624,1.0,0.10344827586206896,0.1875,0.6835196614265442,0.4869416356086731,0.16287457942962646,0.8110086917877197,0.8889520168304443
7w41__1__1.A__1.B__1.B,7w41__1__1.A__1.B,c649,27.266627439553275,20-30,484,484,43,213,1,113,40,2899,129,4.072561160890156,2.835608234878531,0.12537015326602782,0.9619977759512643,1.0,0.025,0.04878048780487806,0.7739675641059875,0.1431441307067871,-0.10513781011104584,0.39142605662345886,0.7077176570892334
7w4y__1__1.A__1.E__1.E,7w4y__1__1.A__1.E,c12,55.97358916380904,50-60,373,324,26,230,9,136,21,1910,44,1.9913095472443418,0.5031710197605387,0.9328892576489616,0.999579626817097,1.0,0.42857142857142855,0.6,0.3967437446117401,0.1412736177444458,0.2838091254234314,-0.001261889934539795,0.7844342589378357
7wc8__1__1.A__1.H__1.H,7wc8__1__1.A__1.H,c565,44.00803736309097,40-50,376,360,29,227,5,128,29,2316,86,2.7569529507061366,1.2665927003074393,0.7926625696992258,0.997563013507868,1.0,0.1724137931034483,0.29411764705882354,0.6139358282089233,-1.0462208986282349,-1.2395594120025635,-0.8528823256492615,0.9323543310165405
7wdu__1__1.A__1.C__1.C,7wdu__1__1.A__1.C,c793,20.477044296858008,20-30,830,819,29,227,11,126,18,1015,53,7.402145715843986,12.98485507801572,0.03813964480917943,0.9689839282671733,0.0,0.0,0.0,0.5527873635292053,0.7593986988067627,0.5439276695251465,0.9748697280883789,0.9680153131484985
7xi7__1__1.A__1.B__1.B,7xi7__1__1.A__1.B,c31,81.99628832816794,80-100,187,186,20,187,13,111,25,1497,63,1.5516327476167577,0.33735631767428875,0.9846529273028645,0.99973957316041,1.0,0.52,0.6842105263157895,0.3340657949447632,-0.47548383474349976,-0.7372071146965027,-0.2137605845928192,0.9852471351623535
7yv4__1__1.A__1.B__1.B,7yv4__1__1.A__1.B,c487,3.1880916468985947,0-20,230,202,22,230,0,62,24,1168,88,6.008784499336522,7.611014412716167,0.04793798621399881,0.817618332081142,0.0,0.0,0.0,0.8045493960380554,1.2286655902862549,1.471696138381958,0.985634982585907,0.29647791385650635
7yzu__1__1.A__1.B__1.B,7yzu__1__1.A__1.B,c194,39.74658871699404,30-40,396,382,16,240,12,121,28,1390,68,2.338365993825405,0.6480688835473559,0.9572675226670545,0.9994330789893721,1.0,0.42857142857142855,0.6,0.48325851559638977,1.3840194940567017,1.6474976539611816,1.1205413341522217,0.8823373913764954
7zfv__1__1.A__1.C__1.C,7zfv__1__1.A__1.C,c7,69.74987027123673,60-70,129,129,13,129,12,69,12,648,37,2.50719741030023,0.6185603857027163,0.8101144949203313,0.9938529993408042,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2859344780445099,1.5808308124542236,1.4906785488128662,1.670983076095581,0.14268651604652405
7zg9__1__1.A__1.C__1.C,7zg9__1__1.A__1.C,c873,26.58282835310719,20-30,295,295,25,231,3,87,28,1746,68,4.188482057589675,3.2750365190439434,0.22901667905936432,0.9731904942078105,1.0,0.10714285714285714,0.19354838709677416,0.7557684779167175,1.139324426651001,1.211300015449524,1.0673487186431885,0.1381726861000061
7zi0__1__1.A__1.C__1.C,7zi0__1__1.A__1.C,c436,90.80618578679488,80-100,638,593,34,222,19,132,28,2495,83,1.976410013574432,0.4822256254812693,0.9359553476490869,0.9996897795874968,1.0,0.6785714285714286,0.8085106382978724,0.4043906033039093,-0.407278835773468,-0.24117247760295868,-0.5733851790428162,0.6628535389900208
7zj0__1__1.A__1.C__1.C,7zj0__1__1.A__1.C,c269,67.48350273915364,60-70,293,293,48,208,17,123,33,2358,139,1.6144042881591465,0.32682966753731096,0.9906203277709602,0.9999008046704467,1.0,0.5151515151515151,0.6799999999999999,0.26785412430763245,-1.4431356191635132,-1.2038530111312866,-1.6824182271957397,0.9039634466171265
7zp7__1__1.A__1.C__1.C,7zp7__1__1.A__1.C,c710,20.463211188641,20-30,330,306,16,240,8,120,24,1315,38,3.251585569819082,1.075204356172697,0.48674583600481414,0.9881259344326233,0.75,0.25,0.375,0.5377275943756104,1.6376248598098755,1.8448846340179443,1.4303650856018066,0.40535277128219604
8aop__1__1.A__1.E__1.E,8aop__1__1.A__1.E,c48,76.35786482005784,70-80,124,105,17,124,7,58,12,660,53,1.3331735192914642,0.38891152590959416,0.9898962894952114,0.9996840820950804,1.0,0.5833333333333334,0.7368421052631579,0.4150967597961426,0.7576206922531128,1.0455085039138794,0.4697328805923462,0.9417682886123657
8aqf__1__1.A__1.B__1.B,8aqf__1__1.A__1.B,c783,34.50054524205617,30-40,323,289,34,222,21,139,38,2507,144,1.9633105809961044,0.42744534987495225,0.932851173057382,0.9988222704216301,1.0,0.5526315789473685,0.711864406779661,0.3480219841003418,-1.0757267475128174,-0.9651374816894531,-1.186315894126892,0.7335368394851685
8arj__1__1.A__1.B__1.B,8arj__1__1.A__1.B,c145,51.24605189131861,50-60,321,275,33,223,14,112,26,1950,119,1.8064671806307087,0.40391047650533995,0.9502665650928747,0.9991958820151553,1.0,0.5384615384615384,0.7000000000000001,0.36843645572662354,0.06576329469680786,0.043282002210617065,0.08824458718299866,0.729584276676178
8bt2__1__1.A__1.M__1.M,8bt2__1__1.A__1.M,c11,73.3277423534432,70-80,383,359,17,239,12,124,27,1441,66,1.4466350038129017,0.3520004488914224,0.9684873863391137,0.9996134945613163,1.0,0.4444444444444444,0.6153846153846153,0.38596606254577637,-0.28850555419921875,-0.4877393841743469,-0.08927170932292938,0.9156862497329712
8c3u__1__1.A__1.C__1.C,8c3u__1__1.A__1.C,c586,6.568433136082542,0-20,153,152,35,153,0,38,20,1456,106,7.777055824348652,8.63798762763225,0.013554314499914137,0.33211744866867865,0.0,0.0,0.0,0.8343512415885925,0.5063300728797913,0.2808695137500763,0.7317906022071838,0.49728307127952576
8c6l__1__1.A__1.C__1.C,8c6l__1__1.A__1.C,c1,73.62039919341622,70-80,336,328,21,235,14,102,24,1403,87,1.1173026299854796,0.20861358170455105,0.9922884676123752,0.9998985950341989,1.0,0.5833333333333334,0.7368421052631579,0.33795109391212463,-0.5662847757339478,-0.19233496487140656,-0.9402346014976501,0.8375545740127563
8c6o__1__1.A__1.C__1.C,8c6o__1__1.A__1.C,c508,79.94695281340277,70-80,195,195,34,195,16,150,35,2668,78,1.5021438765680992,0.33915945203683234,0.9698538950163493,0.9995969130584516,1.0,0.45714285714285713,0.6274509803921569,0.2677835524082184,-2.2435765266418457,-2.195929765701294,-2.2912232875823975,0.9919809103012085
8c6s__1__1.A__1.C__1.C,8c6s__1__1.A__1.C,c505,54.69263246581164,50-60,419,330,20,236,8,116,20,1361,67,5.492310057951782,3.645569558737421,0.15957609517976704,0.906091005252324,0.875,0.35,0.4999999999999999,0.4889703094959259,1.649156093597412,1.4524924755096436,1.8458195924758911,0.1331854909658432
8cey__1__1.A__1.D__1.D,8cey__1__1.A__1.D,c40,49.42766843837874,40-50,318,303,17,239,10,105,25,1236,52,6.64123504588317,2.9603583875172075,0.17957075468417497,0.964378384902017,1.0,0.4,0.5714285714285715,0.43503355979919434,1.5983142852783203,1.6684043407440186,1.5282243490219116,0.23328739404678345
8cjg__1__1.A__1.D__1.D,8cjg__1__1.A__1.D,c248,0.0,0-20,663,637,16,240,0,82,22,1408,49,5.571149078153376,6.963289123578844,0.008728807281553352,0.703607796268463,0.0,0.0,0.0,0.8939345479011536,0.9975638389587402,0.7818464040756226,1.213281273841858,0.5388928651809692
8cju__1__1.A__1.B__1.B,8cju__1__1.A__1.B,c845,45.23262200646084,40-50,499,478,45,211,10,137,31,2832,68,2.825843440156593,1.3738766428398084,0.814864847105946,0.9985706996164756,0.8888888888888888,0.25806451612903225,0.39999999999999997,0.596043586730957,0.8530123233795166,1.2927495241165161,0.4132750630378723,0.46001511812210083
8crl__1__1.A__1.C__1.C,8crl__1__1.A__1.C,c207,71.37311810155991,70-80,335,317,29,227,20,159,35,2194,113,2.1290777389095266,0.5256035555705786,0.8768929789637314,0.9985595103504736,1.0,0.5714285714285714,0.7272727272727273,0.46301257610321045,0.523165762424469,0.28084418177604675,0.7654873728752136,0.8655498623847961
8d6m__1__1.A__1.C__1.C,8d6m__1__1.A__1.C,c217,72.391129679116,70-80,854,825,21,235,0,53,16,1220,34,5.132555097532467,5.349583713667714,0.024672965353482526,0.8417741973893252,0.0,0.0,0.0,0.8814098834991455,1.3128631114959717,0.9889352321624756,1.6367908716201782,0.4010065197944641
8dsr__1__1.A__1.C__1.C,8dsr__1__1.A__1.C,c831,36.84325772716839,30-40,465,332,33,223,13,140,25,2169,86,4.079845823457404,2.0937802165122945,0.4006936514804917,0.9762232301405618,0.8461538461538461,0.44,0.5789473684210525,0.5405358076095581,0.5476863384246826,0.5537952184677124,0.5415773987770081,0.6283832788467407
8etl__1__1.A__1.C__1.C,8etl__1__1.A__1.C,c1011,9.030047977603942,0-20,819,765,17,239,8,120,18,1175,23,3.3124449560502547,1.60247858950291,0.6114702884380963,0.9983890738346741,0.75,0.3333333333333333,0.46153846153846156,0.629289448261261,2.1777102947235107,2.512240171432495,1.8431804180145264,0.7434720993041992
8f1z__1__1.A__1.B__1.B,8f1z__1__1.A__1.B,c574,42.79611660504549,40-50,331,310,33,223,13,106,33,2287,139,2.6534517431353226,0.849048646087805,0.8708651548301479,0.9972174079188735,1.0,0.3939393939393939,0.5652173913043478,0.5171814560890198,-0.950351893901825,-1.5610599517822266,-0.33964383602142334,0.6946516036987305
8flz__1__1.A__1.K__1.K,8flz__1__1.A__1.K,c22,68.88068473493088,60-70,358,335,37,219,18,124,32,2021,116,1.6571226343192327,0.3785608420006661,0.9817314480221893,0.9998139520515823,1.0,0.5625,0.72,0.32476818561553955,-2.333660125732422,-2.5273921489715576,-2.139927864074707,0.9722898006439209
8g3e__1__1.A__1.C__1.C,8g3e__1__1.A__1.C,c679,37.90662341481829,30-40,316,309,32,224,0,38,15,1265,77,4.998010983176439,6.429848532588862,0.10015519123861011,0.9621124976338512,0.0,0.0,0.0,0.6917380094528198,0.6941314935684204,0.7919449806213379,0.5963180661201477,0.16857761144638062
8g3s__1__1.A__1.E__1.E,8g3s__1__1.A__1.E,c729,90.7486624872404,80-100,518,518,43,213,17,100,23,2236,134,1.109504475838483,0.2025056596517176,0.9935832782957413,0.9999602259704189,1.0,0.7391304347826086,0.85,0.25197651982307434,-2.8945462703704834,-3.052542209625244,-2.7365503311157227,0.9912760257720947
8g69__1__1.A__1.C__1.C,8g69__1__1.A__1.C,c288,27.66240425843109,20-30,298,298,15,241,0,51,15,643,61,7.736069022571745,8.895813094822582,0.02202157538949395,0.6925550940884703,0.0,0.0,0.0,0.7859228253364563,1.7068791389465332,1.715510606765747,1.6982475519180298,0.12177498638629913
8gev__1__1.A__1.B__1.B,8gev__1__1.A__1.B,c6,40.52692100313553,40-50,141,137,28,141,8,110,30,1871,70,2.4220015281547704,0.8608145689863913,0.5960165489348276,0.9900614520901297,1.0,0.26666666666666666,0.4210526315789474,0.4963868260383606,1.551642656326294,1.6564255952835083,1.4468597173690796,0.3050062656402588
8gfq__1__1.A__1.B__1.B,8gfq__1__1.A__1.B,c39,62.08234724866437,60-70,544,515,20,236,9,90,18,1223,62,1.97027266738516,0.5136652415696228,0.9375583500460183,0.999306820258493,1.0,0.5,0.6666666666666666,0.5163929462432861,1.7840691804885864,1.9170795679092407,1.6510587930679321,0.2360655665397644
8gkf__1__1.A__1.J__1.J,8gkf__1__1.A__1.J,c410,34.54159952876428,30-40,235,220,32,224,2,91,26,1859,88,3.1346936445305826,1.9244099862850128,0.5819038817523979,0.991070261010566,1.0,0.07692307692307693,0.14285714285714288,0.7182455658912659,1.1767516136169434,1.3714839220046997,0.9820193648338318,0.3082401752471924
8gne__1__1.A__1.E__1.E,8gne__1__1.A__1.E,c336,88.63434695074483,80-100,431,391,28,228,0,24,15,876,48,6.29221823533158,10.05584858625418,0.010042923831031994,0.79282874617737,0.0,0.0,0.0,0.8884500861167908,0.5831312537193298,0.5449786186218262,0.6212838888168335,0.0838586688041687
8h7r__1__1.A__1.B__1.B,8h7r__1__1.A__1.B,c799,40.04212592708052,40-50,140,118,22,140,11,63,24,1053,94,5.875786947247962,3.7647398814764848,0.18639183187754477,0.9000671802983146,0.8181818181818182,0.375,0.5142857142857142,0.5557588338851929,1.1145968437194824,1.5837581157684326,0.645435631275177,0.4656240940093994
8hul__1__1.A__1.C__1.C,8hul__1__1.A__1.C,c256,59.90170638374567,50-60,276,257,28,228,16,131,26,2093,103,2.503542947822901,0.589864590596294,0.8966797795303357,0.9983246165028012,1.0,0.6153846153846154,0.761904761904762,0.3637579381465912,0.044686056673526764,0.21969479322433472,-0.1303226798772812,0.9454283714294434
