sample_id,batch_seed,sample,designed_chain_score,dendrogram_order,cluster_at_50pct_identity_cut,cluster_at_60pct_identity_cut,cluster_at_70pct_identity_cut,cluster_at_80pct_identity_cut,cluster_at_90pct_identity_cut
s6006_02,6006,2,0.7861,54,1,1,8,39,52
s6006_03,6006,3,0.7322,38,1,1,8,33,38
s6006_04,6006,4,0.7511,55,1,1,8,41,54
s6006_05,6006,5,0.8588,47,1,1,8,38,47
s6006_06,6006,6,0.8089,14,1,1,2,13,13
s6006_07,6006,7,0.7935,4,1,1,1,2,2
s6006_08,6006,8,0.8538,5,1,1,1,6,6
s6006_09,6006,9,0.7625,35,1,1,8,31,33
s6006_10,6006,10,0.8995,17,1,1,4,15,15
s6007_01,6007,1,0.8405,77,1,1,8,55,79
s6007_02,6007,2,0.8412,6,1,1,1,4,4
s6007_03,6007,3,0.8149,57,1,1,8,41,56
s6007_04,6007,4,0.871,71,1,1,8,49,69
s6007_05,6007,5,0.9554,100,1,2,15,71,99
s6007_06,6007,6,0.7433,68,1,1,8,48,65
s6007_07,6007,7,0.7582,90,1,1,10,63,88
s6007_08,6007,8,0.7806,52,1,1,8,39,49
s6007_09,6007,9,0.7826,43,1,1,8,36,45
s6007_10,6007,10,0.8276,76,1,1,8,53,75
s6008_01,6008,1,0.8859,24,1,1,6,24,24
s6008_02,6008,2,0.8665,12,1,1,2,10,10
s6008_03,6008,3,0.8428,70,1,1,8,48,68
s6008_04,6008,4,0.8214,78,1,1,8,54,76
s6008_05,6008,5,0.7977,15,1,1,4,20,20
s6008_06,6008,6,0.7972,21,1,1,5,21,21
s6008_07,6008,7,0.8276,74,1,1,8,52,73
s6008_08,6008,8,0.7159,89,1,1,10,63,90
s6008_09,6008,9,0.8509,97,1,1,13,68,96
s6008_10,6008,10,0.8429,26,1,1,7,26,26
s6009_01,6009,1,0.7188,39,1,1,8,34,39
s6009_02,6009,2,0.7965,49,1,1,8,40,53
s6009_03,6009,3,0.8195,64,1,1,8,44,61
s6009_04,6009,4,0.8568,66,1,1,8,51,72
s6009_05,6009,5,0.8431,29,1,1,8,32,37
s6009_06,6009,6,0.8831,80,1,1,8,54,78
s6009_07,6009,7,0.9584,98,1,2,14,69,97
s6009_08,6009,8,0.7776,67,1,1,8,48,67
s6009_09,6009,9,0.8564,8,1,1,1,7,7
s6009_10,6009,10,0.8724,83,1,1,8,58,82
